"mcp_code","mcp_name","province","region","year","month","mean_monthly","total_monthly"
11018,"Hemiksem","Antwerpen","Flanders",2021,2,2.71428571428571,76
11018,"Hemiksem","Antwerpen","Flanders",2021,3,3.45161290322581,107
11018,"Hemiksem","Antwerpen","Flanders",2021,4,2.83333333333333,85
11018,"Hemiksem","Antwerpen","Flanders",2021,5,2.48387096774194,77
11018,"Hemiksem","Antwerpen","Flanders",2021,6,1.03333333333333,31
11018,"Hemiksem","Antwerpen","Flanders",2021,7,2.51612903225806,78
11018,"Hemiksem","Antwerpen","Flanders",2021,8,1.80645161290323,56
11018,"Hemiksem","Antwerpen","Flanders",2021,9,1.53333333333333,46
11018,"Hemiksem","Antwerpen","Flanders",2021,10,2.93548387096774,91
11018,"Hemiksem","Antwerpen","Flanders",2021,11,16.3,489
11018,"Hemiksem","Antwerpen","Flanders",2021,12,8.38709677419355,260
11018,"Hemiksem","Antwerpen","Flanders",2022,1,41.258064516129,1279
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2020,9,1.16666666666667,35
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2020,10,3.58064516129032,111
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2020,11,2.3,69
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2020,12,1.48387096774194,46
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2021,1,0.935483870967742,29
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2021,2,0.928571428571429,26
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2021,3,2.06451612903226,64
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2021,4,1.9,57
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2021,5,2.32258064516129,72
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2021,6,0.5,15
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2021,7,1.58064516129032,49
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2021,8,1.74193548387097,54
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2021,9,0.7,21
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2021,10,3.45161290322581,107
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2021,11,7.7,231
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2021,12,7.06451612903226,219
11021,"Hove (Antwerpen)","Antwerpen","Flanders",2022,1,26.258064516129,814
11022,"Kalmthout","Antwerpen","Flanders",2020,9,1.2,36
11022,"Kalmthout","Antwerpen","Flanders",2020,10,5.25806451612903,163
11022,"Kalmthout","Antwerpen","Flanders",2020,11,4.8,144
11022,"Kalmthout","Antwerpen","Flanders",2020,12,4.41935483870968,137
11022,"Kalmthout","Antwerpen","Flanders",2021,1,1.96774193548387,61
11022,"Kalmthout","Antwerpen","Flanders",2021,2,2.92857142857143,82
11022,"Kalmthout","Antwerpen","Flanders",2021,3,3.83870967741935,119
11022,"Kalmthout","Antwerpen","Flanders",2021,4,3.83333333333333,115
11022,"Kalmthout","Antwerpen","Flanders",2021,5,3.38709677419355,105
11022,"Kalmthout","Antwerpen","Flanders",2021,6,2.06666666666667,62
11022,"Kalmthout","Antwerpen","Flanders",2021,7,2.35483870967742,73
11022,"Kalmthout","Antwerpen","Flanders",2021,8,1.45161290322581,45
11022,"Kalmthout","Antwerpen","Flanders",2021,9,1.86666666666667,56
11022,"Kalmthout","Antwerpen","Flanders",2021,10,5,155
11022,"Kalmthout","Antwerpen","Flanders",2021,11,24.8666666666667,746
11022,"Kalmthout","Antwerpen","Flanders",2021,12,17.5483870967742,544
11022,"Kalmthout","Antwerpen","Flanders",2022,1,55.5483870967742,1722
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2020,9,2.13333333333333,64
11023,"Kapellen (Antwerpen)","Antwerpen","Flanders",2020,10,11.741935483871,364
